Grammar,Usage,JLPT Level,Reference Example,Original Example,Prefix,Chunk1,Chunk2,Chunk3,Chunk4,Suffix,Explanation
たら1,～たら＋未実現のことがら,N4,①雨だったら道が混雑するだろう。,,,,,,,,
たら1,～たら＋表出・働きかけ,N4,①この仕事が完成したら、長い休みをとるつもりだ。,,,,,,,,
たら1,～たら＋問いかけ,N4,①雨だったら試合は中止になりますか。,,,,,,,,
たら1,疑問詞＋V－たら～のか,N3,①何度言ったら分かるんだ。,,,,,,,,
たら1,～たらどんなに～か,N3,①宝くじに当たったらどんなにうれしいだろう。,,,,,,,,
たら1,～たら　～だろう／～はずだ,N3,①あのとき精密検査を受けていたら、手遅れにならなかっただろう。,,,,,,,,
たら1,～たらどんなに～か,N3,①背があと10センチ高かったらどんなによかっただろうか。,,,,,,,,
たら1,～たら～た＜確定条件＞,N3,①空港に着いたら友達が迎えに来ていた。,,,,,,,,
たら1,～たらさいご,N1,①彼は寝たら最後、まわりでどんなに騒いでも絶対に目をさまさない。,,,,,,,,
たら1,～たら～で　A－かったらA－いで　A－かったらA－かったで　V－たらV－たで,N2,①金というのはあったらあったで使うし、なかったらないで何とかなるものだ。,,,,,,,,
たら1,～たら＋依頼・勧め＜前置き＞,N3,①もし差し支えなかったら事情を聞かせてください。,,,,,,,,
たら1,～たら＜前置き＞,N3,①私から見たら、こんなことはたいした問題ではない。,,,,,,,,
たら1,V－たら＜勧め＞,N4,①立って見てないで、ちょっと手伝ってあげたら。,,,,,,,,
たら2,,N3,①あなたったら、何考えてるの？,,,,,,,,
たらいい,だったらいい　A－かったらいい　V－たらいい　V－たらいい＜勧め＞,N4,①A：レポートのしめきり間に合いそうもないんだ。どうしたらいいかなあ。B：先生に聞いてみたらどう？,,,,,,,,
たらいい,～たらいい＜願望＞,N4,①生まれてくる子が男の子だったらいいのだが。,,,,,,,,
たらいい,～たらよかった,N4,①A：このあいだのパーティーおもしろかったわよ。B：僕も行ったらよかった。A：そうよ。来たらよかったのに。どうして来なかったの。B：アルバイトがあったんだよ。でもあの日はバイト、ひまでね。休んでもよかったんだ。,,,,,,,,
だらけ,Nだらけだ,N3,①間違いだらけの答案が返ってきた。,,,,,,,,
たらどうか,V－たらとうか,N4,①別の方法で実験してみたらどうでしょうか。,,,,,,,,
たり,だったり　A一かったり　V－たり　～たり～たりする,N4,①休みの日には、ビデオを見たり音楽を聞いたりしてのんびり過ごすのが好きです。,,,,,,,,
