Grammar,Usage,JLPT Level,Reference Example,Original Example,Prefix,Chunk1,Chunk2,Chunk3,Chunk4,Suffix,Explanation
か,何＋数量詞＋か／いくつか,N5,①ビールなら冷蔵庫に何本かある。,,,,,,,,
か,～からか／～せいか／～のか,N3,①彼女は自分も留学経験があるからか、留学生の悩みの相談によくのってあげている。,,,,,,,,
が1,Nが,N5,①あの人が山本さんです。,,,,,,,,
が1,NがNだから,N1,①親が親だから、子供があんなふうに生意気になるのだ。,,,,,,,,
が1,NがNだけに,N1,①ここの料理は、素材が素材だけに味も格別だ。,,,,,,,,
が1,NがNなら～（が）,N1,①時代が時代なら、この本も売れたかもしれないが、今の時代では人間の生き方を問うような本は若い人には読まれない。,,,,,,,,
が1,NがNならNもNだ,N1,①この生徒はいつも教師に口答えばかりして困る。親もすぐ学校にどなりこんでくるし、まったく、親が親なら子も子だ。,,,,,,,,
が2,だが　A／V　が　が＜逆境＞,N5,①彼は学生だが、私は社会人だ。,,,,,,,,
が2,が＜前置き＞,N5,①山田と申しますが、厚子さんいらっしゃいますか。,,,,,,,,
が2,が＜言いよとみ＞,N5,①≪コピーしている人に≫あのう、ちょっと1枚だけコピーしたいんですが。,,,,,,,,
かい,かいが　ある／ない　Nのかいが　ある／ない　V－たかいが　ある／ない,N2,①努力したかい（が）あって、無事合格することができた。,,,,,,,,
かい,R－がい,N3,①やりがいのある仕事を求めて転職する。,,,,,,,,
かえって,,N3,①親切で言ったつもりなのだが、かえって怒らせてしまったようだ。,,,,,,,,
かえる,R－かえる,N3,①次の文を否定文に書きかえなさい。,,,,,,,,
がかり,動詞「かかる」から派生した語。「時間／お金がかかる」の「費やされる」の意味、「医者にかかる」の「頼る」の意味、「雨がかかる」の「影響される」の意味、「仕事にかかる」の「始める」の意味などがある。数量詞＋がかり,N2,①グランドピアノを5人がかりでやっと運んだ。,,,,,,,,
がかり,Nがかり,N2,①徳女は30才にもなって、親がかりで留学した。,,,,,,,,
がかり,R－がかり,N2,①広場でトランペットの練習をしていると、通りがかりの人が何人も足を止めて聞いていった。,,,,,,,,
がかる,NがかったN,N2,①川井さんは青みがかった紫色のとてもきれいなワンピースを看ていた。,,,,,,,,
かぎり,かぎりが　ある／ない,N3,①資源には限りがある。無駄遣いしてはいけない。,,,,,,,,
かぎり,かぎりなくNにちかい,N2,①その着物は限りなく白に近い紫だった。,,,,,,,,
