Grammar,Usage,JLPT Level,Meaning,Reference Example,Original Example,Blanked Example,Correct Answer,Option A,Explanation A,Option B,Explanation B,Option C,Explanation C,Option D,Explanation D,Option E,Explanation E,Option F,Explanation F,Option G,Explanation G,Option H,Explanation H
それでは,それでは＜転換＞,N4,,①それでは、次は天気予報です。,,,,,,,,,,,,,,,,,,,
それでは,それでは＜否定的結果＞,N4,,①A：入学試験、多分60パーセントもとれなかったと思います。B：それでは合格は無理だろう。,,,,,,,,,,,,,,,,,,,
それでも,,N3,,①いろいろ説明してもらったが、それでもまだ納得できない。,,,,,,,,,,,,,,,,,,,
それところか,,N3,,①A：山の家はすずしくていいでしょうね。B：それどころか、寒くてすっかりかぜをひいてしまいました。,,,,,,,,,,,,,,,,,,,
それとも,NそれともN,N4,,①A：コーヒー？それとも紅茶？B：どちらでもけっこうです。,,,,,,,,,,,,,,,,,,,
それとも,～それとも,N4,,①雨が降ってきましたが、どうしますか。行きますか。それとも延期しますか。,,,,,,,,,,,,,,,,,,,
それなら,,N4,,①A：どこか山登りに行こうと思うんだけど。B：それなら、日本アルプスがいいよ。,,,,,,,,,,,,,,,,,,,
それに,～それにN,N4,,①部屋にはさいふとかぎ、それに手帳が残されていた。,,,,,,,,,,,,,,,,,,,
それに,～それに,N4,,①このごろよく眠れない。それに時々めまいもする。,,,,,,,,,,,,,,,,,,,
それにしては,,N3,,①A：きのうほとんど寝てないんです。B：それにしては元気がいいね。,,,,,,,,,,,,,,,,,,,
それにしても,,N3,,①A：予選ではあんなに強かったのにどうして決勝で負けたんでしょうね。B：プレッシャーでしょう。A：それにしてもひどい負け方ですね。,,,,,,,,,,,,,,,,,,,
それはそうと,,N3,,①A：先生、レポートのしめきりはいつですか。B：七月未だよ。それはそうと明日の演習の発表はだれだったかな。,,,,,,,,,,,,,,,,,,,
それはそれでいい,,N2,,①事故の責任は取ったというなら、それはそれでいい。しかし今後の補償をちゃんとしてくれなくては困る。,,,,,,,,,,,,,,,,,,,
それはそれとして,,N3,,①万引が問題なのはわかります。しかしそれはそれとして、もう少し広く青少年をとりまく社会環境について話し合いたいと思います。,,,,,,,,,,,,,,,,,,,
それほど,,N4,,①それほど好きならあきらめずにやりなさい。,,,,,,,,,,,,,,,,,,,
それまでだ,,N2,,①人間、死んでしまえばそれまでだ。生きているうちにやりたいことをやろう。,,,,,,,,,,,,,,,,,,,
それゆえ,,N1,,①彼は自分の能力を過信していた。それゆえに人の忠告を開かず失敗した。,,,,,,,,,,,,,,,,,,,
それを,,N1,,①あれほど考え直すように言ったのに君は会社をやめた。それを今になってもう一度雇ってくれだなんて、いったい何を考えてるんだ。,,,,,,,,,,,,,,,,,,,
たい,R－たい,N5,,①ああ、暑い。なにか冷たいものが飲みたい。,,,,,,,,,,,,,,,,,,,
たい,R－たいんですが,N5,,①A：住民登録について聞きたいんですが、何番の窓口でしょうか。B：3番ヘどうぞ。,,,,,,,,,,,,,,,,,,,
